evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
23 49.8351589444 23.6939804118 -2.041667 3.958333 2.458333 3.208333 -2.125000 -3.125000 0.125000 -2.375000 -4.708333 -3.208333 3.041667 0.375000 4.791667 0.291667 -3.041667 -0.291667 -0.541667 2.291667 -0.291667 -2.791667 2.291667 2.125000 2.375000 3.291667 4.625000 3.958333 0.875000 -0.875000 -3.041667 4.208333 -1.625000 0.208333 -3.208333 -1.875000 0.208333 2.541667 -3.291667 4.625000 1.541667 -0.375000
24 114.2347447575 23.6939804118 -3.541667 0.208333 -1.791667 -2.208333 3.541667 0.291667 -3.208333 4.125000 -4.458333 -2.875000 3.541667 4.041667 2.458333 1.291667 -1.291667 3.708333 3.041667 1.541667 -2.291667 4.708333 1.375000 -3.291667 3.541667 1.125000 -2.041667 -4.041667 -1.208333 -3.208333 -1.541667 -4.875000 4.458333 -2.541667 0.625000 0.708333 3.791667 2.958333 0.208333 -4.375000 2.041667 1.041667
25 116.1341612360 23.6939804118 4.458333 2.375000 -0.458333 2.208333 -1.875000 3.291667 3.791667 1.625000 1.291667 0.458333 3.708333 0.708333 -0.708333 -0.458333 -4.875000 1.708333 -4.375000 4.125000 3.958333 -3.208333 -4.708333 3.125000 -0.125000 -2.958333 -4.208333 4.291667 -1.708333 -4.541667 -1.125000 -2.458333 2.708333 1.125000 -4.125000 -4.458333 2.291667 2.458333 -4.291667 -4.541667 -3.458333 -1.791667
26 112.7356017754 23.6939804118 0.791667 -4.041667 3.625000 -4.625000 -4.958333 -0.291667 -2.291667 2.375000 -0.125000 -3.541667 -2.125000 1.041667 3.041667 -3.625000 3.375000 -2.208333 2.708333 -4.541667 -1.125000 -3.458333 -4.791667 1.625000 -1.125000 -1.875000 -0.875000 -0.791667 3.458333 -4.125000 -4.958333 -3.458333 0.791667 -4.041667 -1.708333 -4.708333 3.625000 -2.375000 0.875000 -1.958333 -1.958333 -1.291667
27 49.3930659085 23.6939804118 -2.625000 -3.208333 -2.208333 0.375000 -2.875000 0.708333 -2.208333 3.625000 1.958333 -2.541667 0.291667 -0.875000 -2.208333 -4.541667 -1.208333 -4.625000 3.375000 -4.958333 0.541667 -3.041667 2.625000 -0.125000 4.791667 1.208333 -3.125000 4.458333 -1.291667 -1.125000 2.958333 2.625000 -4.375000 -3.125000 -4.625000 -0.791667 2.541667 1.541667 4.625000 -3.041667 4.208333 -4.291667
28 28.8543480117 23.6939804118 3.541667 2.958333 -3.458333 -1.791667 -3.041667 -2.708333 1.291667 -2.208333 4.125000 1.458333 -2.875000 -3.125000 -1.208333 -0.791667 3.458333 4.708333 -4.875000 -3.958333 3.208333 -4.208333 4.458333 1.125000 -2.458333 -0.375000 4.458333 2.375000 0.708333 0.708333 2.375000 -2.291667 2.125000 -3.625000 -2.208333 4.541667 -1.791667 0.708333 0.708333 4.125000 -3.208333 -1.875000
29 38.6149435816 23.6939804118 3.875000 -2.291667 -1.541667 -2.541667 0.291667 -2.625000 4.541667 0.458333 -0.708333 -4.041667 3.291667 -1.208333 -0.041667 -2.041667 -3.375000 1.625000 -0.125000 -0.041667 -4.875000 2.208333 3.041667 -2.208333 2.125000 4.125000 0.458333 -3.791667 -3.625000 1.458333 -0.375000 2.458333 -1.708333 3.708333 -2.458333 2.041667 -4.208333 -3.875000 -1.208333 -1.541667 2.708333 -3.791667
30 55.0757604198 23.6939804118 -2.208333 -1.875000 0.958333 1.375000 4.208333 3.875000 0.708333 3.791667 -2.125000 -3.291667 -3.791667 2.291667 1.875000 -0.875000 -2.958333 1.791667 3.958333 1.375000 -4.791667 4.625000 -0.791667 0.125000 -4.291667 -1.375000 -2.958333 4.208333 -2.791667 -4.875000 -0.208333 -4.041667 -3.958333 2.875000 -0.041667 4.791667 -1.458333 -4.541667 3.208333 -2.875000 -3.958333 -2.541667
31 37.7519880859 23.6939804118 3.291667 4.708333 1.208333 -0.875000 -2.458333 -1.208333 -3.041667 -4.791667 4.458333 4.291667 -0.708333 -4.291667 3.875000 -2.625000 2.291667 3.791667 -0.208333 -3.875000 -0.625000 -3.291667 4.125000 -0.541667 -1.708333 -0.041667 -4.625000 -2.375000 1.375000 0.041667 3.041667 -0.458333 2.291667 -1.375000 -2.708333 -3.208333 -1.958333 1.208333 -1.791667 3.458333 0.125000 -0.041667
32 43.3055227704 23.6939804118 -1.708333 1.875000 -3.791667 3.541667 -2.375000 -0.125000 1.875000 3.958333 -2.291667 -0.458333 -1.791667 -3.291667 2.625000 -2.375000 -2.125000 0.208333 2.541667 -1.458333 1.791667 -3.958333 4.958333 -2.791667 2.291667 -3.541667 -2.125000 0.375000 -2.375000 -3.708333 4.125000 3.208333 3.375000 2.291667 -1.875000 2.625000 -0.208333 -1.125000 -2.041667 2.041667 -3.791667 0.208333
33 139.7416980413 23.6939804118 -4.791667 -1.041667 1.375000 0.791667 -0.375000 -4.041667 -4.375000 -4.875000 -3.875000 2.125000 2.875000 -1.291667 -4.041667 -2.291667 -0.791667 -4.791667 -1.041667 -2.041667 0.375000 4.458333 -0.458333 3.791667 1.291667 4.375000 -4.708333 -2.791667 -0.125000 -1.875000 -2.958333 0.708333 -2.875000 4.375000 1.791667 3.458333 2.208333 4.708333 -1.375000 -1.625000 1.458333 0.375000
34 56.9752359548 23.6939804118 1.791667 3.125000 -1.041667 2.958333 0.375000 -0.458333 -1.125000 1.791667 -2.208333 -1.875000 1.291667 -1.125000 -0.875000 -3.541667 1.791667 4.958333 2.041667 -3.375000 -3.708333 2.875000 -1.458333 -2.708333 3.958333 1.625000 3.291667 -1.125000 -2.041667 -3.125000 2.291667 -0.708333 4.541667 -0.291667 1.541667 -0.125000 3.291667 2.875000 -1.041667 2.625000 2.458333 -0.708333
35 27.1100996828 23.6939804118 -1.791667 0.875000 0.458333 -0.125000 4.708333 -4.958333 -3.125000 -0.291667 4.875000 4.875000 -3.125000 4.375000 0.041667 2.458333 3.875000 -3.208333 -3.291667 4.208333 0.291667 0.208333 -2.625000 3.541667 -0.625000 0.541667 1.708333 3.791667 2.041667 -1.708333 3.625000 -1.875000 2.458333 1.958333 2.541667 -3.041667 -2.541667 3.041667 4.125000 2.125000 2.625000 -3.291667
36 27.7043390450 23.6939804118 1.625000 -0.041667 0.208333 4.208333 -0.708333 0.458333 -1.958333 2.125000 2.625000 4.708333 -0.625000 3.208333 4.041667 1.541667 0.875000 -2.125000 -2.208333 0.458333 -0.208333 2.625000 -1.041667 2.791667 4.041667 1.291667 -1.958333 1.541667 -2.958333 -3.291667 3.125000 0.041667 -2.041667 1.291667 -1.125000 0.041667 -1.041667 0.041667 3.791667 -3.125000 3.125000 0.791667
37 53.3741925604 23.6939804118 1.458333 -2.625000 2.791667 -0.708333 4.541667 -4.208333 -0.375000 2.291667 -0.458333 -3.375000 -1.375000 -4.041667 0.541667 2.708333 0.541667 -4.291667 0.125000 4.541667 4.125000 -2.041667 -1.791667 0.041667 2.458333 -0.291667 3.791667 -1.375000 -0.958333 -3.875000 2.541667 -0.958333 -2.541667 -0.791667 -4.041667 4.458333 -1.208333 0.541667 0.375000 3.958333 -4.208333 4.458333
38 50.5295357317 23.6939804118 -4.208333 2.125000 -4.791667 -1.958333 -3.875000 -0.208333 -3.458333 -1.125000 -2.625000 -1.541667 -4.708333 -1.958333 -0.958333 -1.708333 4.541667 -2.958333 -2.541667 -2.458333 1.875000 3.125000 -3.625000 0.791667 -4.375000 4.291667 4.375000 -0.875000 -1.541667 -4.041667 -0.625000 -2.708333 -0.208333 -2.625000 -3.708333 1.375000 -2.708333 -3.375000 4.458333 -2.041667 -3.875000 2.625000
39 57.3542582368 23.6939804118 0.208333 3.458333 2.625000 4.875000 3.625000 0.125000 -3.291667 -3.208333 -1.875000 -4.541667 1.958333 2.458333 -4.708333 -3.875000 0.291667 1.875000 3.291667 3.458333 -3.208333 -1.708333 -4.875000 3.458333 -4.208333 -4.708333 4.541667 -1.875000 3.791667 3.958333 -3.291667 -4.375000 -2.958333 3.458333 -4.541667 0.625000 1.458333 -3.791667 -0.625000 4.791667 2.291667 -1.541667
40 119.7046749044 23.6939804118 0.125000 1.375000 4.291667 -3.541667 3.125000 2.875000 -3.625000 -0.791667 -4.791667 4.208333 1.791667 -4.125000 4.541667 4.208333 2.125000 1.125000 -2.375000 3.041667 -2.125000 -0.041667 3.708333 3.958333 -1.625000 1.958333 -2.291667 1.458333 2.875000 -2.041667 1.791667 -3.708333 4.041667 -2.708333 -0.208333 1.625000 -1.708333 1.708333 -3.125000 3.541667 -4.458333 -4.458333
41 83.2736547349 23.6939804118 -4.291667 3.208333 -3.625000 3.375000 2.291667 -4.291667 -2.375000 3.875000 1.541667 3.375000 4.291667 2.375000 1.958333 -4.958333 3.208333 4.458333 2.458333 2.875000 -4.375000 -4.458333 0.208333 3.208333 0.875000 2.125000 3.625000 -0.708333 -2.708333 0.291667 -4.125000 -1.708333 -1.791667 -3.208333 0.041667 2.958333 -0.791667 3.125000 4.958333 0.375000 -4.791667 1.791667
42 33.4609982781 23.6939804118 1.291667 3.791667 2.208333 4.041667 -3.458333 -1.625000 -1.875000 -1.541667 -1.625000 -2.041667 -2.041667 4.208333 -3.958333 2.958333 4.791667 3.125000 -2.791667 -0.541667 4.375000 2.541667 4.375000 4.791667 0.125000 -1.041667 -4.958333 -4.958333 -0.875000 -0.958333 -4.708333 -2.375000 0.458333 1.625000 -4.208333 -1.208333 4.125000 -0.541667 4.375000 -1.708333 4.541667 0.541667
43 78.3439457584 23.6939804118 0.291667 0.791667 -4.541667 -3.291667 0.208333 -4.375000 -1.791667 -4.041667 3.041667 -0.791667 0.125000 1.791667 -3.375000 2.541667 3.958333 -0.875000 -4.208333 1.208333 -2.041667 3.375000 -4.375000 -3.125000 1.541667 1.708333 -0.458333 -1.208333 0.791667 4.208333 -4.375000 -4.625000 2.791667 2.041667 1.708333 -2.958333 -3.125000 -3.208333 -4.791667 1.625000 -2.791667 3.208333
44 116.3959712368 23.6939804118 -2.541667 -4.541667 0.291667 1.208333 1.708333 -3.708333 4.791667 4.458333 2.208333 4.541667 0.041667 1.458333 1.375000 0.375000 1.041667 2.041667 4.375000 -3.125000 3.625000 0.125000 1.541667 2.291667 -4.625000 2.958333 4.041667 4.041667 4.458333 -4.625000 -0.958333 4.041667 3.541667 4.791667 -1.208333 -0.291667 -4.541667 4.541667 -3.458333 4.375000 -1.291667 3.958333
45 29.9620917955 23.6939804118 -1.458333 4.791667 -0.958333 1.625000 -3.958333 -2.958333 -1.708333 -1.958333 -2.541667 1.375000 0.208333 -2.875000 2.791667 1.875000 2.541667 0.875000 4.541667 3.208333 4.041667 -1.875000 0.875000 4.541667 -0.375000 0.208333 3.458333 -1.291667 -4.375000 1.708333 -3.958333 1.541667 -0.708333 -1.458333 -1.625000 4.208333 -3.791667 -0.625000 -0.958333 -3.875000 -0.791667 -0.958333
46 108.1703346087 23.6939804118 -0.208333 4.625000 1.291667 3.875000 -0.041667 -4.875000 -1.625000 4.208333 -4.208333 -3.458333 -1.875000 4.458333 0.208333 1.208333 -2.291667 -4.708333 -3.708333 -4.875000 1.708333 -3.541667 0.708333 1.541667 -4.541667 3.208333 -1.125000 1.708333 0.291667 3.791667 -4.791667 4.375000 4.958333 -1.708333 -2.041667 2.208333 -3.625000 -1.208333 1.875000 -3.458333 -1.625000 -2.958333
47 123.5760068948 23.6939804118 4.125000 3.625000 3.375000 -1.875000 -1.291667 4.541667 2.875000 -4.208333 0.125000 -4.625000 -3.541667 4.791667 -2.625000 -4.625000 -2.625000 2.958333 4.625000 -1.208333 -1.041667 -3.125000 2.125000 3.875000 -3.791667 -2.708333 0.291667 -1.958333 -1.458333 -2.958333 4.708333 3.791667 -2.375000 -3.791667 2.375000 2.375000 -3.208333 4.625000 -4.208333 -2.458333 4.458333 -2.208333
48 123.4501400462 23.6939804118 0.958333 -3.041667 0.625000 2.291667 -2.625000 1.708333 4.041667 -3.125000 -3.791667 -0.375000 2.625000 -2.541667 2.375000 -2.958333 -0.041667 1.041667 -1.208333 -2.541667 0.458333 -2.458333 4.625000 -4.125000 -3.458333 1.791667 -2.708333 -2.458333 4.291667 -1.958333 -1.291667 1.125000 4.291667 0.291667 4.791667 -0.875000 -2.208333 -1.958333 -3.541667 -3.208333 2.208333 -0.541667
49 98.2230855968 23.6939804118 0.541667 -1.375000 0.708333 -2.458333 -1.458333 2.291667 -4.875000 -4.625000 -2.958333 1.625000 0.625000 0.875000 1.041667 2.625000 1.875000 2.458333 1.208333 -2.208333 -0.791667 -2.541667 0.291667 -0.791667 1.708333 -3.791667 -0.625000 2.708333 -1.125000 0.125000 0.791667 -1.375000 -3.875000 -0.541667 2.875000 3.375000 0.458333 2.791667 -2.291667 3.625000 -0.875000 3.458333
50 49.4437779473 23.6939804118 -3.708333 2.541667 -1.875000 -4.208333 -1.541667 0.208333 3.125000 2.208333 1.375000 -4.375000 0.458333 3.291667 -0.541667 2.791667 -1.875000 0.791667 1.125000 0.875000 -0.458333 -1.125000 -2.458333 -4.708333 0.458333 -3.291667 -1.541667 -2.958333 2.125000 -3.791667 -3.791667 -0.375000 1.208333 -1.208333 3.458333 -4.791667 0.708333 -4.041667 -4.125000 1.541667 1.291667 -1.041667
51 104.1758640102 23.6939804118 -4.875000 -3.291667 -3.208333 1.791667 -0.458333 0.625000 -0.625000 -2.958333 1.625000 -0.208333 1.125000 1.958333 4.958333 0.458333 3.791667 -1.708333 -1.125000 0.041667 4.541667 -4.625000 1.791667 -3.041667 -1.458333 -2.208333 1.375000 -1.708333 4.125000 4.375000 -0.041667 -0.541667 -3.041667 -2.875000 1.291667 4.291667 -3.041667 2.125000 -4.708333 -4.125000 0.791667 4.958333
52 257.5151438584 23.6939804118 -0.125000 -0.875000 -1.125000 -0.375000 3.208333 -0.958333 3.291667 -3.375000 -3.958333 -1.291667 1.708333 2.541667 0.625000 0.125000 -3.791667 4.625000 -4.625000 -4.791667 4.875000 3.041667 -3.875000 -1.541667 -3.625000 2.458333 1.208333 -3.625000 4.375000 1.625000 -4.291667 1.625000 -1.125000 3.791667 0.125000 2.875000 -0.375000 -3.125000 2.041667 -3.625000 -0.458333 3.791667
53 199.4177025399 23.6939804118 3.791667 -2.958333 0.375000 4.375000 -3.791667 -4.125000 -3.541667 2.708333 3.208333 1.958333 2.958333 1.541667 3.208333 -1.375000 -3.625000 0.125000 0.791667 -4.208333 1.625000 4.791667 -2.125000 -3.375000 -2.041667 -1.541667 2.541667 -0.125000 -1.875000 3.875000 3.458333 -2.958333 -0.541667 -4.791667 4.208333 2.791667 -0.041667 -4.708333 0.541667 -1.208333 -1.125000 4.041667
54 569.1831939038 23.6939804118 -4.375000 1.458333 3.208333 -2.375000 -1.041667 -3.041667 -4.041667 -2.041667 -4.875000 4.958333 -4.458333 0.041667 0.708333 4.875000 -4.625000 2.291667 1.625000 2.458333 -1.708333 1.875000 2.958333 -3.208333 -2.791667 -4.875000 -4.375000 2.541667 -3.208333 -4.208333 1.625000 -4.291667 -1.958333 2.541667 1.125000 1.291667 3.208333 3.708333 0.125000 3.875000 -4.708333 0.625000
55 109.7231457766 23.6939804118 -3.125000 -4.708333 1.791667 3.458333 -2.791667 -2.041667 -1.208333 1.375000 2.541667 2.875000 4.625000 4.291667 4.458333 -3.125000 -3.291667 0.458333 -0.708333 0.291667 2.375000 -2.625000 -2.791667 2.375000 1.041667 0.791667 0.708333 -1.625000 3.875000 1.208333 0.041667 3.875000 -4.541667 -1.291667 0.791667 -4.541667 -0.541667 -1.875000 -2.708333 2.375000 -2.541667 -3.708333
56 38.1573579151 23.6939804118 4.208333 2.458333 2.041667 0.291667 -2.291667 -4.625000 3.375000 2.541667 -1.541667 -2.625000 3.958333 -3.458333 -4.125000 2.125000 -3.875000 -4.375000 -3.958333 1.625000 3.375000 0.375000 -0.625000 1.375000 -1.541667 -2.291667 4.875000 0.791667 -4.125000 -0.458333 -2.291667 -0.041667 3.958333 3.125000 -4.375000 -2.041667 4.041667 -1.625000 1.541667 4.041667 -2.708333 -4.541667
57 115.6695679292 23.6939804118 2.791667 4.958333 -1.625000 -4.958333 4.375000 2.208333 2.458333 -3.708333 -0.541667 2.041667 -0.125000 3.875000 2.958333 0.958333 1.625000 -4.541667 4.708333 0.541667 -1.291667 3.708333 -4.625000 -4.958333 0.708333 -1.208333 -3.625000 0.625000 2.625000 3.125000 -0.291667 -3.208333 2.541667 3.875000 2.208333 -4.625000 2.791667 2.375000 -0.041667 2.541667 1.958333 1.458333
58 188.6658271516 23.6939804118 3.041667 4.208333 2.125000 2.458333 4.458333 4.958333 4.708333 4.791667 0.625000 -3.708333 -4.791667 2.208333 -1.791667 -0.208333 1.458333 -3.791667 -2.875000 4.958333 3.125000 -1.291667 0.625000 -0.041667 -0.791667 3.958333 -4.541667 -3.458333 1.708333 3.625000 0.291667 3.708333 1.291667 -3.958333 2.958333 1.958333 4.875000 -0.791667 0.958333 -3.541667 3.041667 -3.875000
