evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19
32 19.2118902568 14.3297459157 1.250000 2.083333 4.083333 3.750000 4.250000 1.250000 0.416667 2.583333 -1.750000 -2.416667 2.583333 -2.250000 3.083333 4.250000 -4.916667 -4.416667 -3.916667 1.250000 0.916667 4.083333
33 39.1505932616 14.3297459157 3.916667 3.916667 0.750000 -4.416667 -4.083333 -3.916667 -4.416667 -3.083333 0.416667 -1.916667 1.250000 -1.083333 -1.583333 -3.750000 -2.583333 3.750000 4.416667 2.083333 -1.916667 4.250000
34 20.7470240234 14.3297459157 1.416667 -2.083333 -3.250000 -1.083333 -0.083333 2.750000 -1.583333 -0.250000 -4.416667 -1.083333 -0.416667 4.250000 4.916667 -2.083333 4.250000 4.916667 -4.583333 -0.416667 2.750000 1.583333
35 22.9880265706 14.3297459157 4.583333 -4.416667 3.750000 4.916667 0.250000 -3.583333 -2.083333 1.083333 4.416667 4.083333 -2.250000 2.083333 -0.416667 -4.083333 4.750000 -4.750000 -2.416667 4.250000 1.250000 -3.583333
36 18.9896786849 14.3297459157 -1.416667 1.916667 3.083333 4.583333 -1.916667 -4.083333 1.750000 4.416667 4.083333 -1.750000 -3.916667 2.916667 -4.083333 -0.250000 3.250000 -2.916667 -0.083333 1.916667 2.416667 -2.583333
37 44.0307596221 14.3297459157 -3.083333 3.416667 -4.916667 -0.250000 -2.416667 3.083333 -4.750000 -1.416667 0.083333 -1.583333 3.916667 0.583333 -1.916667 2.416667 -0.083333 -3.583333 2.250000 2.416667 -1.583333 -0.250000
38 21.1738565642 14.3297459157 0.083333 -1.250000 -3.083333 1.750000 -4.416667 2.083333 -1.916667 -0.750000 -2.583333 2.083333 1.916667 -0.916667 4.583333 1.250000 3.583333 1.750000 -1.750000 -0.250000 0.583333 3.250000
39 28.2755233498 14.3297459157 3.250000 4.083333 2.250000 2.416667 0.416667 2.916667 4.916667 -2.250000 -3.083333 -0.583333 -0.916667 -1.750000 -0.916667 -1.250000 2.916667 -2.583333 -3.083333 -3.916667 -4.750000 1.416667
40 23.7006289921 14.3297459157 -4.083333 -1.583333 3.250000 2.083333 -0.416667 1.583333 1.083333 2.250000 -0.583333 -0.250000 -1.583333 2.416667 -4.583333 1.750000 4.416667 -0.250000 2.916667 -3.750000 4.416667 -0.583333
41 20.7347446488 14.3297459157 1.083333 -4.750000 -3.583333 -2.250000 -1.083333 -0.583333 4.083333 -4.250000 -0.916667 -4.750000 3.750000 1.583333 4.750000 2.083333 -0.583333 -2.250000 0.916667 1.750000 -0.416667 0.416667
42 49.3319588503 14.3297459157 0.916667 4.583333 4.750000 -1.250000 -0.916667 0.250000 3.083333 3.250000 2.083333 2.250000 0.916667 1.250000 1.416667 3.916667 -1.083333 -0.916667 0.250000 3.416667 -4.916667 1.750000
43 17.8881016163 14.3297459157 -2.750000 -2.750000 -0.250000 3.416667 -2.083333 -2.416667 -3.916667 -2.916667 -2.250000 0.083333 -4.750000 -2.083333 3.416667 -4.916667 -0.250000 3.583333 0.583333 -1.916667 -1.083333 -3.916667
44 25.0756234453 14.3297459157 -2.916667 -0.416667 -0.083333 1.416667 2.416667 1.750000 4.416667 3.416667 -3.250000 1.416667 -4.083333 0.416667 -2.583333 -1.916667 -4.583333 -1.750000 2.583333 -2.583333 2.250000 -4.583333
45 28.4203687403 14.3297459157 -1.750000 -4.916667 1.916667 4.416667 -4.916667 -2.083333 -4.250000 4.083333 -1.416667 3.083333 -1.750000 -0.416667 -3.916667 -2.583333 1.416667 1.416667 1.083333 0.083333 -4.250000 0.083333
46 21.9869292221 14.3297459157 -0.416667 1.416667 2.583333 -0.083333 -3.583333 -1.416667 0.583333 1.583333 3.583333 -3.916667 1.416667 0.250000 -3.250000 -0.416667 -0.416667 4.083333 -0.916667 -0.583333 2.916667 2.916667
47 20.2174824229 14.3297459157 -2.583333 2.916667 1.416667 -0.750000 3.416667 -4.750000 3.583333 4.250000 1.250000 3.250000 -2.416667 4.416667 -0.750000 0.250000 2.750000 0.750000 3.750000 4.083333 -0.250000 -2.083333
48 52.4918186313 14.3297459157 4.250000 -4.250000 0.416667 -2.750000 2.583333 3.250000 3.916667 2.750000 -3.583333 0.416667 0.416667 2.750000 -3.416667 -4.416667 0.083333 -3.416667 -0.250000 -1.416667 4.583333 -4.916667
49 22.1699123791 14.3297459157 -3.916667 4.250000 -1.750000 1.916667 3.583333 -3.750000 2.416667 2.916667 2.916667 -3.250000 -0.750000 -4.250000 4.083333 3.250000 -4.250000 -4.916667 -3.750000 -2.750000 1.583333 -2.416667
50 26.1173076044 14.3297459157 2.750000 -3.416667 4.416667 -4.083333 1.250000 -0.250000 1.916667 0.583333 2.750000 4.583333 0.083333 -4.416667 -0.083333 2.250000 1.083333 -4.250000 3.583333 3.250000 3.250000 3.750000
51 20.5074301393 14.3297459157 -1.083333 1.250000 3.416667 3.083333 2.083333 -0.083333 2.750000 0.916667 -4.916667 0.250000 4.916667 1.750000 2.916667 4.416667 1.250000 -4.083333 -1.083333 4.583333 0.250000 -3.416667
52 55.9084932328 14.3297459157 0.583333 -0.750000 2.750000 0.916667 -3.916667 3.916667 4.250000 1.916667 1.916667 -0.916667 -3.416667 4.083333 -4.916667 -0.083333 2.083333 -1.250000 0.083333 -2.083333 -2.250000 2.750000
53 31.9247488210 14.3297459157 -3.250000 2.750000 -2.583333 -4.583333 3.250000 -1.583333 -0.750000 0.250000 4.916667 -0.083333 -4.583333 1.416667 -0.250000 -0.583333 4.583333 -0.750000 3.250000 3.750000 -1.750000 -1.750000
54 36.8700362395 14.3297459157 3.750000 1.750000 -0.750000 0.416667 4.083333 4.083333 2.250000 -0.583333 2.416667 -0.416667 1.750000 0.916667 0.083333 4.916667 -3.250000 3.916667 -0.583333 -3.416667 -3.250000 1.916667
55 56.1489837163 14.3297459157 -4.250000 3.583333 3.916667 -0.416667 2.916667 -2.583333 4.583333 2.416667 -1.916667 -1.416667 3.250000 3.750000 2.750000 3.416667 -1.583333 2.416667 4.250000 -4.583333 1.916667 -2.750000
56 44.1860763169 14.3297459157 0.250000 2.583333 0.250000 -4.250000 3.750000 -1.083333 1.416667 4.916667 -3.416667 -3.083333 -1.083333 -0.250000 1.083333 1.083333 3.083333 -2.750000 2.416667 -4.250000 0.083333 1.250000
57 34.4492016576 14.3297459157 -0.250000 0.250000 1.083333 3.583333 -4.583333 3.583333 -1.250000 -1.083333 -4.750000 1.083333 3.583333 3.250000 2.416667 -4.250000 2.250000 0.916667 -0.416667 -3.250000 -0.083333 -1.916667
58 24.5086794851 14.3297459157 1.583333 -2.416667 4.250000 -3.916667 -3.750000 1.916667 -0.916667 4.750000 0.750000 1.750000 -2.916667 -1.583333 1.250000 -2.250000 0.250000 1.916667 0.750000 4.916667 0.416667 4.750000
59 58.9026472742 14.3297459157 3.583333 4.416667 -2.083333 -3.083333 -0.250000 0.083333 3.416667 0.416667 -3.916667 4.416667 4.583333 -0.083333 1.916667 -4.583333 -2.416667 2.750000 4.916667 -4.416667 -1.250000 -1.583333
60 27.4470527521 14.3297459157 -2.416667 4.750000 -0.416667 2.250000 1.416667 -1.916667 -0.583333 -4.916667 -2.750000 2.750000 -3.583333 -4.583333 0.250000 1.416667 -4.416667 2.250000 3.083333 0.583333 4.083333 2.083333
61 19.3468086671 14.3297459157 1.357762 2.569358 3.919494 1.657856 1.783939 4.152396 0.123131 -0.008907 0.729772 -0.006983 0.657979 3.370044 0.980852 0.924577 3.380188 -2.542151 -3.875320 1.107131 -2.437211 0.929106
62 19.1887974562 14.3297459157 -1.198863 2.238077 1.651860 1.915360 0.709625 -2.021489 -0.041461 1.100634 3.230793 -0.333046 -2.998478 -0.541008 -1.989572 -0.419362 -0.650004 0.144761 1.009826 -1.520300 -2.860639 -0.502311
63 16.5001703943 14.3297459157 0.152735 0.257350 0.766323 4.862962 -0.487997 1.682992 2.033247 -1.858201 -1.076074 -2.139082 -0.096814 1.087518 -4.413888 -0.184741 4.999361 -1.557521 -1.956825 -4.814437 -3.240213 -3.704738
64 20.3189052852 14.3297459157 -4.927003 1.659232 0.394734 -0.063105 -1.213791 -4.594465 1.010969 -2.423713 3.213848 3.566297 -2.277564 -2.681297 1.440225 2.680218 1.173336 0.567516 0.855030 1.703755 -0.685411 0.802911
65 10.9971759176 10.9971759176 1.521027 -2.285441 -2.486338 -1.197341 0.432799 -1.729476 1.647334 -0.766524 -3.780038 -2.233833 4.995715 -0.007801 2.338728 1.989343 3.870601 -2.989523 -0.873440 4.543921 3.528228 -3.116393
66 14.4453080579 10.9971759176 -1.792828 3.812533 2.307062 0.973423 -0.579955 -3.585037 0.351601 1.405625 0.648224 -0.585154 0.197746 1.695754 0.514310 0.680810 -1.456721 2.154910 -0.987895 1.968835 0.488230 0.910820
67 15.1643635355 10.9971759176 -0.442879 -0.362453 4.439121 -0.297426 0.186520 -1.749132 0.954384 1.499165 2.356120 2.839493 -2.042744 0.083711 -0.257256 4.070248 0.679746 -0.379274 -0.155815 0.120025 -0.756984 2.050534
68 11.8091324632 10.9971759176 0.600633 -0.273365 0.096283 -0.480008 -1.384485 -1.548490 1.237636 0.537179 -0.517671 -2.000542 2.824956 -0.592118 -1.569722 1.417879 1.068535 -1.519438 0.173823 3.732604 1.603024 -1.054680
69 22.4369009286 10.9971759176 0.423263 -1.313674 2.439607 -1.349106 -3.109274 -0.973020 3.889498 1.878492 2.453330 1.511098 -1.479489 1.943227 0.171429 0.907886 0.376811 -0.109530 1.037982 1.242551 -0.929179 3.374544
70 14.0209380384 10.9971759176 -0.886391 0.117999 1.293212 1.010175 0.795746 -2.300474 0.068290 -0.995995 2.031998 0.617125 -0.226489 -0.434639 -2.359891 1.850172 3.505249 -1.383939 -0.611391 0.858254 -0.951260 -2.248992
71 16.0589875721 10.9971759176 -1.006208 0.926342 0.991441 -0.315752 0.648955 0.161979 0.291775 2.317841 0.255350 0.969067 -1.450581 1.722964 0.144630 0.170398 -0.576745 0.865766 0.905337 -1.270315 0.383778 0.513712
72 15.6162759126 10.9971759176 0.043315 0.381161 -1.395604 0.498901 1.440153 -0.928945 0.499557 -1.317638 -1.060468 0.372066 3.500825 -0.030017 0.322265 0.880422 0.037822 -2.043400 -0.313162 1.226946 1.480393 -1.104999
73 21.9186934516 10.9971759176 -1.214838 0.657323 1.379207 0.866740 0.049456 -0.976964 0.886419 -2.395537 2.765227 2.069247 0.432262 -2.743592 -0.983981 1.474960 2.373914 -1.704418 -1.029518 -0.494113 -2.447144 0.033721
74 11.6902615006 10.9971759176 0.496175 1.699747 1.703790 -0.897550 0.737296 0.540630 0.331539 -1.041281 1.401526 0.586328 0.597747 1.034459 1.324984 2.554506 0.719794 0.477465 -1.110787 0.422007 -2.391411 2.495467
75 22.3783017234 10.9971759176 -1.176452 -1.893182 0.150790 -0.034739 -1.591867 0.209493 -0.441435 0.499928 2.938557 1.512292 -2.679209 -2.651965 -2.472157 1.074573 -1.181154 -1.204195 -1.132366 -0.427145 3.379825 2.061651
76 48.3384845325 10.9971759176 0.385765 -3.023431 0.896266 -0.299644 -2.937550 1.618721 3.843413 1.859649 3.131967 -0.007593 -2.314241 2.220453 -1.256580 -1.112407 -1.682788 -1.813570 -1.091752 -1.954948 0.472302 2.818151
evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19
1 173.5952431347 173.5952431347 -4.583333 -3.750000 -1.916667 3.250000 3.083333 0.416667 -0.916667 0.250000 1.250000 -2.916667 2.416667 -1.416667 0.083333 4.416667 -3.916667 1.750000 -0.916667 -2.416667 -2.916667 -2.583333
2 52.1187503029 52.1187503029 3.083333 -1.583333 -4.250000 2.916667 -1.083333 -4.416667 -3.083333 4.083333 3.416667 -2.583333 2.250000 1.250000 -1.916667 -2.083333 4.416667 -4.250000 1.250000 3.250000 -0.750000 -4.583333
3 184.2344302127 52.1187503029 3.250000 -3.416667 3.916667 -3.083333 -2.916667 1.416667 -4.416667 1.916667 -4.916667 4.083333 -4.750000 3.916667 1.583333 1.583333 2.416667 -0.416667 2.583333 -2.083333 -2.750000 1.083333
4 97.5140354640 52.1187503029 -3.916667 -1.416667 3.250000 0.583333 -3.916667 1.083333 -0.250000 2.250000 4.750000 -1.250000 4.250000 -0.583333 -4.583333 0.583333 2.750000 -2.416667 -4.916667 -4.416667 -4.083333 -0.916667
5 267.0655329067 52.1187503029 4.750000 2.583333 2.416667 2.583333 1.916667 -4.083333 -3.583333 -4.416667 0.916667 3.416667 0.083333 3.583333 0.416667 0.250000 1.583333 2.583333 0.916667 -4.916667 1.750000 -3.916667
6 250.3969689121 52.1187503029 1.416667 3.250000 -1.250000 2.750000 4.750000 0.250000 -1.750000 2.083333 -4.583333 4.416667 -3.250000 2.916667 4.583333 -0.916667 -4.250000 2.250000 -1.916667 3.416667 4.916667 0.250000
7 51.9961294024 51.9961294024 0.416667 -3.083333 -2.750000 -0.916667 4.250000 4.916667 3.416667 3.250000 4.583333 2.416667 0.416667 -4.916667 4.250000 -1.250000 -3.583333 -4.916667 -2.916667 2.750000 -4.416667 2.916667
8 53.5649381839 51.9961294024 4.583333 1.250000 1.916667 1.583333 -2.250000 2.250000 -3.750000 -0.750000 3.083333 -1.583333 -2.250000 -0.750000 -0.416667 -0.250000 1.250000 1.916667 1.916667 -1.750000 3.750000 4.250000
9 31.1506725191 31.1506725191 -0.083333 3.916667 -1.583333 -1.416667 4.583333 2.583333 1.416667 -4.916667 -0.416667 -3.083333 0.583333 -4.083333 -1.416667 3.583333 2.083333 3.416667 -2.083333 -3.416667 -2.416667 4.750000
10 75.2541986599 31.1506725191 -2.583333 -3.583333 -3.916667 -1.250000 0.916667 -0.250000 4.583333 -2.750000 0.250000 4.750000 3.750000 4.416667 -4.083333 4.250000 1.083333 -1.083333 0.416667 -1.083333 4.583333 3.416667
11 145.8432499272 31.1506725191 1.916667 2.916667 2.083333 1.416667 -2.750000 -2.083333 -4.083333 -3.916667 1.583333 1.583333 1.916667 2.750000 -0.750000 1.416667 -1.583333 1.083333 4.750000 4.583333 0.083333 -3.083333
12 36.0387972126 31.1506725191 -1.750000 4.416667 -2.083333 -3.583333 0.083333 4.583333 -3.416667 -1.250000 -3.083333 -4.250000 3.583333 0.583333 3.583333 -2.583333 0.916667 -0.250000 -4.250000 4.750000 2.583333 -3.416667
13 53.1254223328 31.1506725191 -0.583333 -0.416667 1.416667 -1.916667 1.583333 -1.750000 -2.583333 4.583333 4.250000 0.250000 -0.916667 1.583333 4.083333 2.583333 0.416667 4.916667 4.083333 -2.250000 -2.583333 -2.416667
14 52.7315659006 31.1506725191 0.083333 -4.083333 -1.083333 2.250000 -2.416667 4.750000 3.916667 3.750000 2.750000 -4.750000 -3.916667 4.750000 -2.750000 -0.416667 0.083333 -4.583333 -3.250000 4.416667 2.250000 1.583333
15 568.3432284567 31.1506725191 -4.416667 2.083333 2.250000 4.916667 2.916667 -0.083333 0.750000 2.416667 2.916667 3.916667 -3.583333 -0.250000 -1.583333 -0.583333 -4.583333 -4.750000 -1.083333 -3.083333 -4.750000 -3.583333
16 40.6121799432 31.1506725191 4.916667 4.250000 0.083333 -2.916667 -4.916667 -2.250000 -1.250000 0.583333 -2.583333 -4.416667 1.083333 -2.250000 -2.416667 -1.083333 2.916667 1.583333 0.083333 2.916667 -2.250000 -0.750000
17 88.6288132987 31.1506725191 -3.583333 2.750000 4.083333 1.250000 -4.416667 4.083333 3.750000 -2.083333 0.583333 0.083333 -4.083333 -0.916667 -3.750000 -3.583333 4.583333 1.250000 -0.250000 2.416667 -0.416667 -3.250000
18 534.8640756723 31.1506725191 -0.416667 3.083333 3.583333 -2.583333 -0.916667 -0.750000 -1.083333 -2.416667 0.083333 4.250000 -0.083333 2.583333 -4.916667 2.916667 -2.250000 0.916667 -2.416667 0.583333 2.750000 1.416667
19 31.1336285706 31.1336285706 2.416667 -4.916667 -2.250000 0.916667 0.250000 1.583333 1.750000 -0.083333 -1.416667 -0.750000 3.250000 2.083333 -1.750000 -3.416667 -0.583333 -1.250000 1.416667 1.750000 3.916667 1.250000
20 53.2353525732 31.1336285706 1.583333 -2.416667 -2.916667 -1.750000 -3.416667 3.750000 4.250000 3.083333 2.416667 -2.083333 4.416667 -3.416667 3.416667 -4.750000 -2.750000 4.750000 -1.750000 3.916667 -1.083333 1.750000
21 59.7643803373 31.1336285706 2.583333 4.583333 0.916667 -0.750000 -2.083333 2.916667 1.250000 -0.416667 -3.416667 1.250000 -1.416667 4.250000 -3.083333 0.916667 1.416667 0.750000 -2.583333 -0.083333 3.083333 -2.916667
22 18.8747276531 18.8747276531 -2.083333 -2.083333 -0.583333 -4.750000 1.250000 -3.416667 3.250000 -0.583333 -1.916667 1.083333 4.750000 -3.583333 0.916667 -1.750000 0.750000 4.083333 3.416667 -2.583333 -0.083333 3.750000
23 130.2049770668 18.8747276531 0.750000 2.250000 1.750000 1.750000 -2.583333 0.583333 -1.916667 -3.083333 -1.083333 2.250000 4.916667 -2.083333 2.583333 -1.916667 -1.750000 -3.083333 3.916667 0.083333 3.250000 0.083333
24 2718.8114205983 18.8747276531 -4.250000 -0.583333 3.416667 3.916667 2.583333 -3.750000 0.083333 -4.583333 -0.583333 0.750000 -2.916667 0.750000 4.916667 2.750000 -3.250000 -4.416667 -3.416667 -2.916667 1.250000 -4.916667
25 121.3397841121 18.8747276531 -1.916667 -4.416667 4.250000 1.083333 1.750000 4.416667 -3.250000 -1.416667 -2.416667 1.916667 1.583333 -2.916667 -0.583333 3.083333 4.750000 2.750000 1.083333 -4.250000 3.416667 0.583333
26 71.0884640372 18.8747276531 2.083333 0.250000 -0.416667 3.750000 -4.750000 1.250000 1.583333 1.750000 0.750000 2.083333 1.750000 -0.083333 -4.250000 1.083333 -0.750000 -1.750000 2.916667 3.583333 -1.416667 -2.083333
27 137.9156794929 18.8747276531 0.583333 -2.250000 3.750000 4.583333 2.416667 -1.583333 2.916667 0.916667 -2.750000 -0.083333 -1.916667 0.416667 1.250000 -0.083333 -1.416667 -3.916667 -3.916667 3.750000 -4.583333 -2.250000
28 955.6868452998 18.8747276531 -1.250000 4.083333 4.916667 4.083333 -4.083333 -4.250000 -2.083333 1.583333 1.416667 1.750000 -4.416667 3.083333 2.750000 -3.083333 0.250000 -3.583333 -3.583333 -3.750000 -0.583333 3.250000
29 88.5253347031 18.8747276531 2.916667 -3.250000 -0.250000 -4.250000 3.250000 2.416667 4.750000 3.416667 1.916667 4.583333 -0.750000 3.250000 -4.750000 -4.416667 4.916667 -0.916667 2.416667 4.083333 -3.083333 3.916667
30 239.1713116747 18.8747276531 -4.750000 -2.583333 -4.416667 -4.916667 -4.583333 0.750000 0.916667 -3.416667 -4.416667 3.250000 3.916667 1.916667 0.250000 1.250000 -1.916667 -3.250000 -4.583333 -4.583333 0.583333 2.583333
31 26.9308695305 18.8747276531 4.083333 -1.750000 1.583333 -1.583333 -0.416667 -2.583333 -4.916667 0.416667 -3.250000 -3.583333 2.750000 1.083333 -3.583333 -2.250000 4.083333 4.416667 -1.583333 0.250000 1.583333 2.083333
32 145.2311356087 18.8747276531 -1.583333 -4.583333 0.416667 -3.750000 -3.583333 -3.250000 -0.583333 4.916667 4.083333 0.416667 1.416667 -4.583333 -2.250000 -2.750000 -4.083333 -1.916667 -4.750000 -1.416667 -4.250000 1.916667
33 29.6430998753 18.8747276531 4.250000 0.583333 2.916667 0.416667 4.083333 3.583333 3.083333 2.916667 -1.583333 -1.083333 -1.083333 3.750000 -2.916667 1.916667 -3.750000 3.583333 4.916667 -0.583333 2.916667 -1.083333
