evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
43 19.1231440843 6.0410199947 4.477265 -2.416720 3.739397 2.086183 -1.537234 -0.273521 -4.900345 0.792516 -2.666172 0.674248
44 24.8574485000 6.0410199947 -4.568344 3.076752 0.465489 -2.347404 1.330759 0.720782 -1.218150 1.582952 -0.051706 -3.919240
45 10.1710797497 6.0410199947 0.422653 1.561828 -2.579571 -1.679301 1.532614 2.382079 -1.475001 -1.548218 1.058939 -1.996058
46 172.5363022966 6.0410199947 -0.423117 -3.060747 -0.710279 -1.226524 -3.907129 1.171622 4.829715 -0.973514 1.164413 4.801045
47 22.6490161489 6.0410199947 0.491846 2.791077 -3.350688 -4.320306 0.719993 -2.614602 -2.350853 -0.993672 -4.842206 -0.514953
48 12.4154550369 6.0410199947 -1.246984 -0.437602 -0.814389 -0.177422 1.958985 -0.893242 1.813341 1.249279 1.833644 -0.945417
49 12.8842737898 6.0410199947 1.729230 0.732339 0.946848 -2.875478 0.137239 0.560885 0.704579 2.446124 -0.346092 0.712358
50 20.5882744842 6.0410199947 1.595183 0.744679 3.835364 2.893369 -0.549499 -1.095429 0.722413 0.346675 -1.851720 1.969943
evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 189.1767037289 189.1767037289 -1.500000 -4.500000 -1.500000 -2.833333 -2.833333 3.166667 1.166667 -2.833333 -3.500000 2.166667
2 229.8629945700 189.1767037289 -2.833333 -1.166667 -2.166667 -2.166667 3.166667 4.500000 -0.166667 4.166667 -0.500000 -0.500000
3 82.4386509044 82.4386509044 -2.500000 -2.833333 4.833333 4.500000 0.833333 -3.166667 -1.500000 1.833333 0.500000 -1.500000
4 74.1687341060 74.1687341060 3.166667 -2.500000 3.500000 1.500000 1.166667 -0.833333 1.500000 4.500000 -2.500000 2.500000
5 70.0627304765 70.0627304765 -3.500000 3.833333 -0.833333 -2.500000 -4.500000 -2.166667 4.500000 0.833333 -0.833333 -4.833333
6 22.4304285260 22.4304285260 0.500000 4.500000 2.166667 2.166667 -3.833333 3.500000 2.166667 3.166667 3.166667 -2.500000
7 117.8649813136 22.4304285260 -0.833333 -3.833333 0.833333 1.166667 2.166667 -2.833333 -1.166667 -4.833333 4.500000 4.500000
8 38.6832166800 22.4304285260 4.500000 1.500000 -1.166667 2.500000 -3.166667 0.833333 3.166667 -0.166667 -1.833333 3.166667
9 16.4104645258 16.4104645258 0.166667 0.166667 -3.833333 3.833333 1.500000 -0.166667 4.166667 1.166667 -0.166667 -1.833333
10 49.5807361406 16.4104645258 1.166667 3.500000 -1.833333 -0.833333 0.500000 -2.500000 -4.166667 0.166667 -1.166667 -1.166667
11 526.9005406706 16.4104645258 -3.833333 -2.166667 3.833333 -0.500000 -0.166667 -1.833333 4.833333 -1.166667 3.833333 0.500000
12 44.8484129223 16.4104645258 2.833333 -3.500000 -4.166667 -4.166667 4.833333 0.500000 2.500000 -1.833333 -2.166667 1.833333
13 14.2994806182 14.2994806182 0.833333 -0.166667 -3.500000 1.833333 -2.500000 -4.166667 3.833333 -2.166667 4.166667 -2.833333
14 192.5336060611 14.2994806182 3.833333 -3.166667 4.500000 -3.500000 2.500000 1.833333 -4.833333 -0.833333 1.833333 1.166667
15 141.6685587271 14.2994806182 -4.500000 1.833333 -4.500000 -1.833333 -1.166667 1.500000 1.833333 -3.833333 -3.166667 -0.166667
16 195.2314820945 14.2994806182 -1.166667 -4.166667 -2.500000 -0.166667 2.833333 -0.500000 -1.833333 2.833333 -2.833333 4.833333
17 206.9789100212 14.2994806182 1.500000 -0.500000 2.833333 -3.833333 -3.500000 0.166667 -3.500000 -0.500000 2.166667 1.500000
18 40.6654656841 14.2994806182 4.166667 -0.833333 -0.166667 -4.833333 4.166667 -3.500000 -2.166667 -3.500000 -1.500000 -4.166667
19 121.2907767993 14.2994806182 -1.833333 0.833333 1.166667 0.833333 -4.833333 -4.500000 -4.500000 -3.166667 4.833333 -2.166667
20 114.2990309847 14.2994806182 4.833333 0.500000 -2.833333 2.833333 -1.500000 -3.833333 -0.833333 4.833333 0.166667 3.833333
21 538.2457901435 14.2994806182 -4.833333 -4.833333 1.500000 0.500000 4.500000 2.166667 3.500000 0.500000 -4.833333 4.166667
22 95.2414261113 14.2994806182 -3.166667 2.833333 1.833333 -1.500000 3.833333 4.166667 0.166667 3.500000 -3.833333 -4.500000
23 44.7853179683 14.2994806182 3.500000 4.833333 4.166667 0.166667 -2.166667 -1.500000 -2.833333 3.833333 -4.500000 2.833333
24 78.8060526156 14.2994806182 -2.166667 -1.500000 0.166667 3.500000 -1.833333 2.833333 -2.500000 1.500000 2.500000 -3.833333
25 36.8760728505 14.2994806182 1.833333 1.166667 3.166667 3.166667 0.166667 1.166667 0.500000 -4.500000 -4.166667 0.166667
26 690.4993062657 14.2994806182 -4.166667 3.166667 -0.500000 -4.500000 3.500000 4.833333 0.833333 2.166667 2.833333 0.833333
27 20.4510137841 14.2994806182 -0.500000 4.166667 2.500000 4.833333 1.833333 -1.166667 2.833333 -4.166667 1.166667 -3.166667
28 137.6888349219 14.2994806182 -0.166667 -1.833333 0.500000 -1.166667 -0.500000 -4.833333 -3.833333 -2.500000 3.500000 3.500000
29 25.1101342597 14.2994806182 2.166667 2.500000 -4.833333 4.166667 -4.166667 2.500000 -0.500000 -1.500000 1.500000 -3.500000
30 44.8556495113 14.2994806182 2.500000 2.166667 -3.166667 -3.166667 -0.833333 3.833333 -3.166667 2.500000 0.833333 -0.833333
31 23.1034887732 14.2994806182 -0.374989 3.178340 -0.167649 1.256380 -3.245638 0.876977 -0.161355 1.428304 -0.354142 -1.077133
32 11.3382664772 11.3382664772 1.796907 0.255109 0.811708 3.562307 0.323200 -1.248608 3.238265 -0.620319 1.913658 -0.536540
33 25.0915576649 11.3382664772 -1.713416 1.435185 -3.406513 2.835628 -2.617932 -3.324431 2.655859 1.533541 2.038618 -2.750479
34 15.0576414998 11.3382664772 0.827603 3.157383 0.836576 0.593416 -1.175465 1.578461 2.477035 -0.791724 -1.464067 -1.100021
35 17.9549447890 11.3382664772 1.423521 0.794169 -0.851459 -0.908952 1.456295 -2.054069 -0.306499 0.114274 -2.137022 -0.527138
36 35.8505167606 11.3382664772 1.777523 0.725356 0.052493 3.771969 -2.066600 1.144976 -1.402745 0.229215 2.501837 -0.053323
37 38.7730949174 11.3382664772 1.402379 1.004489 -3.343652 0.035153 -2.176634 -0.915011 0.552363 2.561111 1.362789 -0.901134
38 26.6852206918 11.3382664772 0.455711 1.286094 3.797381 3.096650 4.013156 2.077623 1.902413 -4.719094 -0.658910 -2.602274
39 39.0371396344 11.3382664772 2.777425 2.122087 0.277197 -0.507450 -0.719395 3.449111 -1.492975 -0.642464 -2.412336 0.775963
40 19.7782621633 11.3382664772 1.321917 1.456470 2.469199 1.722919 0.083815 -0.823554 -0.657355 -1.005343 0.673550 -0.857951
41 46.8771611676 11.3382664772 2.281488 -0.239488 -1.413882 1.771043 -0.680067 2.877791 1.876147 2.353332 -0.841225 2.184312
42 24.7733170382 11.3382664772 -0.334281 1.986357 -3.378617 -0.169851 -1.530017 -1.064689 3.653698 0.804377 0.827458 -2.873976
43 23.2151120245 11.3382664772 1.220255 4.587573 3.619902 -0.635522 -3.007867 2.214508 1.175098 3.781432 -0.144843 -0.597958
44 47.9800452250 11.3382664772 -1.398169 0.086051 -2.755052 -0.123608 2.618303 3.063292 -0.424909 2.710813 -3.334138 -1.012907
45 35.8158665259 11.3382664772 -1.199766 1.330633 0.123814 2.641829 1.174548 -0.237180 0.570574 -2.705741 -0.204526 -2.872874
46 19.4886901565 11.3382664772 3.651106 2.759011 -0.805376 1.373367 -2.913384 1.306042 0.374888 0.320818 0.654974 -0.294796
47 37.4208556094 11.3382664772 2.625382 -1.878479 1.298080 1.158093 2.503037 -0.259986 0.466185 0.478666 -0.441978 2.284325
48 56.4815520322 11.3382664772 1.164328 0.989201 -2.067268 1.362413 -1.934325 3.761376 -2.524712 1.014308 2.086179 -1.200282
49 18.5770596833 11.3382664772 -0.435704 2.626529 -2.361970 1.721961 -1.823899 -2.378059 2.412277 -0.242946 2.374150 -4.244435
50 19.4553718128 11.3382664772 0.851208 1.104236 -0.014177 2.168350 -0.704373 0.723588 1.063963 -0.282471 -0.073857 -0.301095
51 40.6905631069 11.3382664772 4.958158 2.462422 1.939326 0.758881 -2.230374 -1.409146 -1.101787 2.427597 -1.735826 2.520489
52 31.2645678720 11.3382664772 1.721122 -2.210698 3.524421 0.637190 3.832532 -4.671859 -0.335108 -3.444173 1.423546 0.251533
53 20.6155576631 11.3382664772 0.764838 1.545887 -1.418754 1.090179 -0.607228 -1.449534 -0.545308 1.292884 -0.990285 -0.971589
54 40.0302134974 11.3382664772 0.302616 2.213329 0.384166 0.008361 -2.154786 3.796718 -0.913869 4.735087 0.909388 -0.530646
evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 20.2255047836 20.2255047836 -0.166667 -4.500000 0.833333 4.833333 -1.166667 -4.833333 4.833333 2.500000 -4.833333 -2.833333
2 39.6110445000 20.2255047836 1.500000 4.166667 -0.166667 1.500000 2.500000 3.166667 1.500000 -2.166667 -0.500000 -2.166667
3 25.5065483852 20.2255047836 -3.166667 -2.166667 0.500000 -4.500000 1.833333 2.166667 -2.166667 1.166667 -3.166667 3.833333
4 24.0494594719 20.2255047836 -2.500000 -2.833333 4.500000 -0.833333 3.500000 1.500000 -2.833333 -0.833333 4.166667 -3.166667
5 26.1365704337 20.2255047836 -4.833333 -0.166667 4.833333 -4.833333 -4.833333 3.833333 0.500000 3.833333 0.833333 2.500000
6 18.3378442350 18.3378442350 4.500000 -3.833333 -1.833333 -3.166667 -0.833333 -4.500000 3.166667 2.833333 -2.833333 3.500000
7 26.3766803055 18.3378442350 1.833333 -1.833333 -4.833333 0.500000 -2.833333 -2.500000 -4.166667 2.166667 -0.833333 -0.500000
8 39.5977101508 18.3378442350 2.833333 0.833333 -3.500000 3.833333 -4.166667 4.166667 -4.833333 -4.166667 2.166667 3.166667
9 50.7510127847 18.3378442350 -1.833333 -0.833333 1.166667 2.833333 -0.166667 -1.833333 2.833333 -4.833333 1.833333 -4.500000
10 12.7709568707 12.7709568707 4.166667 -1.500000 -0.833333 2.500000 0.500000 -3.166667 -1.500000 -3.500000 2.500000 4.500000
11 16.8779206281 12.7709568707 0.833333 2.500000 2.833333 -2.500000 -1.500000 -0.500000 -3.500000 4.166667 2.833333 -3.833333
12 29.7591785595 12.7709568707 -0.833333 1.833333 -1.500000 -3.500000 3.166667 -3.833333 -0.166667 -1.833333 -2.500000 -1.500000
13 17.9467733818 12.7709568707 3.500000 -4.833333 2.500000 3.166667 1.500000 3.500000 3.833333 -2.833333 0.166667 -0.166667
14 16.1343610751 12.7709568707 -1.166667 -3.166667 -4.166667 4.500000 4.166667 -3.500000 -1.166667 4.833333 -1.500000 1.166667
15 18.2158230771 12.7709568707 -0.500000 -0.500000 3.500000 0.166667 -3.166667 1.833333 -0.500000 3.166667 -4.166667 1.500000
16 20.0745858731 12.7709568707 0.166667 2.166667 -3.833333 -0.500000 4.833333 -0.166667 -1.833333 -2.500000 -4.500000 2.166667
17 24.4402774938 12.7709568707 -1.500000 3.166667 -3.166667 -0.166667 -3.833333 -2.166667 -3.166667 -0.500000 -0.166667 4.833333
18 30.4726031156 12.7709568707 -2.833333 3.500000 -0.500000 -3.833333 -3.500000 1.166667 2.500000 1.833333 -3.833333 -4.833333
19 21.4888115646 12.7709568707 4.833333 0.500000 -2.500000 3.500000 2.166667 4.500000 3.500000 4.500000 -2.166667 1.833333
20 15.6766935265 12.7709568707 -3.833333 -3.500000 -2.833333 1.833333 -2.166667 -2.833333 2.166667 -3.833333 -1.833333 4.166667
21 12.6731524429 12.6731524429 -3.500000 -4.166667 4.166667 -1.500000 2.833333 -4.166667 0.166667 0.166667 0.500000 -0.833333
22 40.6712431260 12.6731524429 -2.166667 3.833333 2.166667 1.166667 1.166667 -1.166667 -3.833333 -1.166667 3.166667 -2.500000
23 98.1471625397 12.6731524429 2.166667 -1.166667 3.166667 2.166667 -0.500000 0.500000 -4.500000 -4.500000 4.833333 -4.166667
24 15.0229404749 12.6731524429 0.500000 0.166667 0.166667 4.166667 0.166667 -0.833333 0.833333 3.500000 1.166667 -1.166667
25 27.8775083794 12.6731524429 -4.166667 -2.500000 3.833333 -2.833333 0.833333 4.833333 -0.833333 -3.166667 4.500000 0.833333
26 7.1767956398 7.1767956398 3.833333 1.500000 1.833333 -1.833333 3.833333 -1.500000 1.166667 0.833333 -3.500000 2.833333
27 28.2198653636 7.1767956398 2.500000 4.833333 -2.166667 -4.166667 4.500000 2.833333 -2.500000 -1.500000 3.500000 0.500000
28 19.7700385212 7.1767956398 3.166667 2.833333 -4.500000 -1.166667 -1.833333 2.500000 4.500000 0.500000 1.500000 -3.500000
29 36.0427604679 7.1767956398 -4.500000 4.500000 -1.166667 0.833333 -2.500000 0.833333 1.833333 1.500000 3.833333 0.166667
30 18.4038342186 7.1767956398 1.166667 1.166667 1.500000 -2.166667 -4.500000 0.166667 4.166667 -0.166667 -1.166667 -1.833333
31 14.2224790518 7.1767956398 1.903063 -1.143504 0.572657 1.868519 1.326524 -0.544415 -2.572084 -1.726828 3.037243 1.874466
32 29.2585360383 7.1767956398 3.898358 2.932291 0.912671 -3.767867 1.166823 -1.312687 2.046293 4.365039 -4.131962 -0.554840
33 8.5669286143 7.1767956398 2.141224 -0.514322 0.879649 -0.864605 0.530305 -1.750240 1.444472 0.289175 -1.227858 0.516487
34 16.6735102185 7.1767956398 -1.877079 1.374016 1.334369 -4.021599 -1.974393 -1.702266 -3.452956 1.140651 -0.054275 2.158684
35 14.3459399896 7.1767956398 3.978213 1.944183 -2.543839 0.631283 3.899558 -4.280803 -2.248104 3.382182 -0.941186 0.581355
36 25.3065670228 7.1767956398 0.895864 3.721302 -1.697500 -1.484068 -1.078461 3.525763 -2.294667 -1.837470 1.334897 1.824427
37 8.7809205650 7.1767956398 2.293114 2.091068 -2.546832 -1.187208 0.634449 -1.738004 -1.179936 1.125655 -2.146886 2.924825
38 13.5340042983 7.1767956398 0.581253 4.065744 -0.262253 -3.672797 -3.987081 0.237971 0.336759 2.545400 -0.704141 -1.741307
39 15.2526108106 7.1767956398 -1.523265 -0.851233 -0.006423 -0.362330 -0.257943 -2.745353 1.038384 1.301265 -1.195537 -1.470615
40 12.9734736089 7.1767956398 0.363345 0.709664 1.486947 -3.505828 -2.319853 0.080511 1.756887 2.611012 -3.566737 1.561012
41 12.7353978773 7.1767956398 1.305691 0.951142 -0.016096 -2.166993 4.431423 -4.535224 -3.498398 -1.636574 0.797791 1.554932
42 14.8115225293 7.1767956398 0.639420 1.163826 0.333648 -1.235810 2.571745 1.625474 0.403184 0.245658 -1.547449 0.541224
43 22.7178765620 7.1767956398 -0.625432 -2.070487 1.877351 1.549989 -0.671954 0.393478 0.014509 -1.282456 2.631808 -1.263574
44 14.3013783744 7.1767956398 1.634459 1.416360 -0.579796 -0.018813 -4.915425 1.912963 3.945445 2.361169 -1.438996 -2.152539
45 5.7435431885 5.7435431885 -1.359071 0.028015 -1.482520 0.920588 -1.010469 -0.753050 -1.633512 1.926759 -0.006840 0.566574
46 20.0895639993 5.7435431885 4.954714 4.683972 -1.404078 -1.526993 -2.405519 3.179385 2.101503 -1.170843 0.381019 -1.095475
47 16.7023636026 5.7435431885 3.372668 1.664736 0.116481 -2.770842 -4.189058 -1.063050 2.738163 2.633471 -2.915356 0.766830
48 27.3568203982 5.7435431885 -2.226569 3.514412 -2.769369 -2.756647 2.100923 0.694792 1.229455 -1.213812 -2.937257 -0.994387
49 7.4744566275 5.7435431885 0.890252 -0.046522 -0.998618 0.392248 1.328890 -2.527532 -0.983332 1.598762 -0.818762 0.711980
50 11.9442058923 5.7435431885 1.143243 -0.089871 -2.125523 1.214271 -2.311438 0.103676 -0.806413 -1.696424 0.592705 2.983650
evaluations raw_y raw_y_best x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 14.1314802437 14.1314802437 -2.833333 0.500000 -3.166667 4.500000 -1.166667 -4.833333 1.166667 -4.500000 2.500000 -0.833333
2 101.3303370330 14.1314802437 0.166667 -1.166667 0.166667 -1.166667 2.166667 4.833333 -4.833333 -0.833333 3.833333 -2.166667
3 36.0942859320 14.1314802437 -1.833333 -2.833333 -1.833333 -0.500000 -3.166667 2.166667 2.166667 -3.500000 1.833333 -2.833333
4 42.0199291600 14.1314802437 2.166667 4.500000 3.500000 -3.166667 -2.833333 -2.500000 -2.500000 3.166667 -3.500000 -4.833333
5 19.4542706144 14.1314802437 -1.500000 4.166667 2.166667 -2.500000 0.500000 1.166667 0.833333 1.833333 -0.833333 1.833333
6 16.8038834530 14.1314802437 -2.500000 1.166667 -0.833333 2.166667 -1.500000 3.833333 3.833333 -0.500000 -0.166667 3.166667
7 26.5046854560 14.1314802437 3.833333 -2.166667 -2.500000 0.500000 1.833333 -4.500000 -1.166667 0.833333 -2.833333 1.166667
8 19.1416531137 14.1314802437 -4.500000 3.500000 -4.500000 1.500000 -3.500000 1.500000 -0.500000 4.500000 -3.833333 -0.166667
9 24.0921800482 14.1314802437 -3.166667 2.833333 -1.166667 -3.500000 2.833333 4.500000 -1.500000 -1.500000 -4.833333 -4.166667
10 14.3790607556 14.1314802437 -0.166667 -0.500000 -2.833333 2.833333 -3.833333 0.500000 3.500000 -4.166667 2.833333 2.833333
11 35.2545113895 14.1314802437 3.166667 -3.166667 0.500000 1.166667 4.166667 -1.833333 4.500000 4.833333 -1.166667 -2.500000
12 32.2258630750 14.1314802437 -3.500000 1.833333 1.166667 -3.833333 2.500000 3.166667 -4.500000 -2.833333 -4.166667 -4.500000
13 32.6388906778 14.1314802437 3.500000 2.500000 3.833333 0.833333 4.500000 -0.833333 4.833333 3.833333 3.166667 4.833333
14 29.5425457724 14.1314802437 1.166667 0.833333 1.500000 -4.166667 1.500000 -3.166667 0.166667 1.166667 -1.500000 -1.500000
15 40.2892520683 14.1314802437 4.166667 -2.500000 -4.166667 4.833333 3.500000 2.833333 -0.166667 0.166667 -2.166667 1.500000
16 29.6090337631 14.1314802437 1.500000 -3.500000 -0.166667 1.833333 4.833333 1.833333 1.500000 -4.833333 0.166667 0.166667
17 85.2579981289 14.1314802437 4.500000 -4.500000 -0.500000 -2.166667 3.166667 3.500000 -3.833333 -3.166667 1.500000 -1.166667
18 12.4808927599 12.4808927599 -0.833333 4.833333 4.833333 0.166667 1.166667 -2.833333 0.500000 4.166667 -1.833333 4.500000
19 43.9438600542 12.4808927599 -4.833333 0.166667 3.166667 -0.166667 -0.500000 4.166667 -0.833333 0.500000 -3.166667 -3.166667
20 29.9172647029 12.4808927599 1.833333 -0.833333 2.500000 3.833333 0.166667 0.833333 2.833333 2.500000 -4.500000 3.833333
21 27.7201652329 12.4808927599 -2.166667 3.166667 -4.833333 4.166667 -0.833333 -2.166667 1.833333 -3.833333 4.500000 -1.833333
22 43.2102730128 12.4808927599 2.500000 -4.833333 -3.500000 -0.833333 0.833333 -3.833333 3.166667 -1.166667 3.500000 -3.500000
23 71.5384024706 12.4808927599 0.500000 -0.166667 -2.166667 -2.833333 -4.500000 0.166667 -3.166667 2.166667 2.166667 2.500000
24 27.6906016714 12.4808927599 -0.500000 1.500000 4.500000 3.500000 -4.166667 -0.500000 -1.833333 -1.833333 1.166667 -0.500000
25 71.3960693258 12.4808927599 0.833333 -1.833333 1.833333 -4.500000 3.833333 -1.166667 -2.833333 1.500000 0.833333 0.833333
26 42.8623444542 12.4808927599 -3.833333 -1.500000 -3.833333 3.166667 -1.833333 -1.500000 -4.166667 -2.500000 4.166667 0.500000
27 124.9277778829 12.4808927599 4.833333 -3.833333 2.833333 -1.500000 -0.166667 2.500000 2.500000 2.833333 -0.500000 2.166667
28 38.7417587457 12.4808927599 -4.166667 3.833333 0.833333 -1.833333 -4.833333 -0.166667 -2.166667 3.500000 0.500000 3.500000
29 111.9547535227 12.4808927599 2.833333 -4.166667 4.166667 -4.833333 -2.500000 -3.500000 -3.500000 -0.166667 4.833333 4.166667
30 15.7568786589 12.4808927599 -1.166667 2.166667 -1.500000 2.500000 -2.166667 -4.166667 4.166667 -2.166667 -2.500000 -3.833333
31 8.4149696513 8.4149696513 -2.556607 4.844213 0.620821 3.284630 0.473317 -1.767137 4.179399 1.009754 -2.457580 2.104377
32 36.4936319054 8.4149696513 -0.281179 -1.518441 -0.954119 1.258826 -4.595460 -0.446315 -1.404203 -1.569666 1.809296 -0.600003
33 14.6938361383 8.4149696513 -0.292910 2.112397 0.628184 1.512405 -0.294735 -1.462329 1.444097 2.647287 -0.730517 2.947525
34 16.5880239122 8.4149696513 -2.238301 1.875472 -4.182926 0.726415 0.784725 -4.340616 0.734542 -2.085789 -0.046070 -3.917374
35 19.3139603108 8.4149696513 -2.830677 1.746212 -2.201988 0.222752 -2.949238 2.868186 0.770494 1.075553 -1.294513 0.200249
36 14.5439317491 8.4149696513 -1.423171 2.435408 3.841740 0.479720 -2.112298 -3.041243 -1.097093 -2.351315 3.043180 0.797358
37 15.7156069809 8.4149696513 0.000718 0.135061 -1.780157 1.609306 1.497686 1.520291 4.243681 -0.011068 -2.547264 -0.673405
38 19.2512651132 8.4149696513 0.430487 0.127383 -0.932286 1.865023 1.643998 -3.658846 3.588169 -3.087281 1.467498 -1.772569
39 19.5675432269 8.4149696513 -0.594877 0.225401 -0.380399 2.139671 -3.688616 2.462868 3.562985 0.517714 -1.364791 0.976656
40 78.6693758986 8.4149696513 3.493200 -4.578089 -0.261660 3.904873 0.919587 3.294228 1.155424 -0.264860 -1.992674 2.407505
